Wed Jun 25 15:35:59 2025 - Beijing: AQI=18, Category=Poor air quality
Wed Jun 25 15:36:05 2025 - Shanghai: AQI=53, Category=Moderate air quality
Wed Jun 25 15:36:11 2025 - Guangzhou: AQI=58, Category=Moderate air quality
Wed Jun 25 15:36:17 2025 - Shenzhen: AQI=81, Category=Excellent air quality
Wed Jun 25 15:36:24 2025 - Rabat: AQI=66, Category=Good air quality
Wed Jun 25 15:36:30 2025 - Casablanca: AQI=64, Category=Good air quality
Wed Jun 25 15:36:36 2025 - Marrakesh: AQI=54, Category=Moderate air quality
Wed Jun 25 15:36:43 2025 - Ifrane: AQI=62, Category=Good air quality
Wed Jun 25 15:36:49 2025 - Tanger: AQI=75, Category=Good air quality
Wed Jun 25 16:05:43 2025 - Beijing: AQI=24, Category=Low air quality
Wed Jun 25 16:05:49 2025 - Shanghai: AQI=54, Category=Moderate air quality
Wed Jun 25 16:05:56 2025 - Guangzhou: AQI=74, Category=Good air quality
Wed Jun 25 16:06:02 2025 - Shenzhen: AQI=80, Category=Excellent air quality
Wed Jun 25 16:06:08 2025 - Rabat: AQI=65, Category=Good air quality
Wed Jun 25 16:06:14 2025 - Casablanca: AQI=65, Category=Good air quality
Wed Jun 25 16:06:20 2025 - Marrakesh: AQI=50, Category=Moderate air quality
Wed Jun 25 16:06:26 2025 - Ifrane: AQI=62, Category=Good air quality
Wed Jun 25 16:06:32 2025 - Tanger: AQI=74, Category=Good air quality
